Product,PeriodName,StartDelivery,EndDelivery,SettlementPrice,Unit,
Quarterly,Q1-24,1/1/2024,31/1/2024,165,SGD/MWh,
Quarterly,Q1-24,1/1/2024,31/3/2024,165,SGD/MWh,
Quarterly,Q2-24,1/4/2024,30/6/2024,165,SGD/MWh,
Quarterly,Q3-24,1/7/2024,30/9/2024,155.26,SGD/MWh,
Quarterly,Q4-24,1/10/2024,31/12/2024,155.26,SGD/MWh,
Quarterly,Q1-25,1/1/2025,31/3/2025,150,SGD/MWh,
Quarterly,Q2-25,1/4/2025,30/6/2025,150,SGD/MWh,
Quarterly,Q3-25,1/7/2025,30/9/2025,150,SGD/MWh,
Quarterly,Q4-25,1/10/2025,31/12/2025,150,SGD/MWh,
Quarterly,Q1-26,1/1/2026,31/3/2026,140,SGD/MWh,
Quarterly,Q2-26,1/4/2026,30/6/2026,140,SGD/MWh,
Quarterly,Q3-26,1/7/2026,30/9/2026,140,SGD/MWh,
Quarterly,Q4-26,1/10/2026,31/12/2026,140,SGD/MWh,
